"country_id","country_code","country_name"
1,HU,🇭🇺 Венгрия
2,IL,🇮🇱 Израиль
3,UK,🇬🇧 Британия
4,DE,🇩🇪 Германия
5,PL,🇵🇱 Польша
6,USA,🇺🇸 США
7,FR,🇫🇷 Франция
8,CA,🇨🇦 Канада
9,KZ,🇰🇿 Казахстан
10,ES,🇪🇸 Испания
11,SE,🇸🇪 Швеция
12,PT,🇵🇹 Португалия
13,MD,🇲🇩 Молдова
14,LV,🇱🇻 Латвия
15,FI,🇫🇮 Финляндия
16,RU,🇷🇺 Россия
17,JP,🇯🇵 Япония
18,RO,🇷🇴 Румыния
19,AE,🇦🇪 ОАЭ
20,SG,🇸🇬 Сингапур
21,TR,🇹🇷 Турция
22,CZE,🇨🇿 Чехия
23,AU,🇦🇺 Австралия
24,ZA,🇿🇦 ЮАР
25,KR,🇰🇷 Южная Корея
26,AT,🇦🇹 Австрия
27,MX,🇲🇽 Мексика
28,DK,🇩🇰 Дания
29,IN,🇮🇳 Индия
30,NL,🇳🇱 Нидерланды
31,AR,🇦🇷 Аргентина
